变量,β系数,SE,OR,95%CI下限,95%CI上限,P值
90天前是否我院就诊,4.19685186454778,0.8006406283525759,66.47672354750131,13.840460641440622,319.29246345885593,1.5895974522898412e-07
出血风险评估（1/0）,-1.4031245502631549,0.625415028160648,0.24582766182048144,0.07215504983286292,0.8375191958997394,0.02486397864801095
入院收缩压,-0.02846633537148746,0.012756690234983919,0.9719350134265576,0.9479349016485427,0.9965427675272209,0.025649162861212126
VTE首次中高危评分日期与药物预防日期差值_2,2.564298887471671,1.2541055376892052,12.991546639758377,1.112102128292497,151.76689244553424,0.04088213936230185
入院科室_神经外科,-1.4726595877576314,1.0390862749806156,0.22931479063899937,0.029918786444165766,1.7576004729985415,0.15640575140775753
呼吸系统疾病/COPD,-0.875347753249283,0.6286812476143805,0.416717079759787,0.12153378383784352,1.428846523821075,0.16381479186551473
VTE中高危评分,0.13718054206229416,0.09962784318105401,1.1470352179312358,0.9435649939159879,1.3943817327454844,0.16853396559685807
感染史,-0.7845131943315178,0.7613891096637293,0.4563417974963143,0.10260836193016534,2.0295405971289107,0.302835920671386
是否机械预防,-1.118842843640591,1.1598795312063015,0.3266575698927083,0.033634373140243416,3.1725035434222857,0.33473524289213064
预防措施_药物预防+机械预防,-0.7818023833240605,1.1568490625060786,0.4575805320932509,0.04739556851786443,4.417711399997719,0.49916555610296043
本次入院前90天有无住院史、治疗史、手术史,0.44706365238501056,0.6728038714545486,1.5637138302334617,0.41826840484760475,5.846009200131451,0.5063841573432932
规范预防,0.5023838726970805,0.7993103157201268,1.6526563007642971,0.3449815484569983,7.9171563252357045,0.5296622404946612
入院科室_康复科,0.45007298611193436,0.8357718752880722,1.5684266546761667,0.30481815617126634,8.070261305945658,0.5902237863176034
预防措施_药物预防,0.2466348618816969,0.659798987008435,1.2797117559160343,0.3511396916943833,4.663848083728028,0.7085508635252047
炎症,-0.17217091274423366,0.7273685527818784,0.8418352804943223,0.20233849297884557,3.5024805663598926,0.8128865736375623
